Epoch,Loss,Accuracy,LR
1,4.788742912292481,0.8,0.0009998288338252908
2,4.783515312194824,1.025,0.0009993154526099096
3,4.743202184041341,1.5,0.0009984602081996976
4,4.6554882570902505,1.7833333333333334,0.0009972636867364526
5,4.567239304860433,2.475,0.0009957267082562184
6,4.4358274892171226,3.325,0.0009938503261272714
7,4.346627559661865,4.091666666666667,0.0009916358263281954
8,4.293240224838256,4.233333333333333,0.000989084726566536
9,4.235892113367717,4.95,0.0009861987752386395
10,4.198297601699829,5.708333333333333,0.0009829799502313896
11,4.141981690088908,6.0,0.0009794304575666624
12,4.11530485534668,6.058333333333334,0.0009755527298894293
13,4.072861566543579,6.741666666666666,0.0009713494248005432
14,4.0133298454284665,7.666666666666667,0.0009668234230353522
15,3.9654714597066243,8.291666666666666,0.0009619778264893877
16,3.9230682233174643,8.616666666666667,0.000956815956092479
17,3.844071980158488,9.55,0.0009513413495327554
18,3.8152084617614745,10.075,0.0009455577588320897
19,3.764502201716105,11.483333333333333,0.0009394691477746516
20,3.7119491291046143,11.333333333333334,0.0009330796891903272
21,3.6617767384847006,12.483333333333333,0.000926393762094869
22,3.5999607480367026,13.433333333333334,0.0009194159486887393
23,3.5558765157063803,14.3,0.0009121510312166968
24,3.51060524559021,14.808333333333334,0.0009046039886902862
25,3.4507550048828124,15.483333333333333,0.0008967799934754719
26,3.389205769220988,16.975,0.0008886844077477569
27,3.3171355819702146,18.733333333333334,0.0008803227798172155
28,3.2921850655873617,18.875,0.0008717008403259584
29,3.2295307095845542,19.741666666666667,0.0008628244983206376
30,3.175076763788859,20.533333333333335,0.0008536998372026805
31,3.1218921445210777,21.841666666666665,0.00084433311055903
32,3.0615856602986655,23.025,0.0008347307378762496
33,3.022174512863159,23.425,0.0008248993001409267
34,2.9645382391611736,24.575,0.0008148455353293938
35,2.900695992787679,25.566666666666666,0.000804576333789856
36,2.8466941318511965,27.3,0.0007940987335200904
37,2.7875925960540773,28.441666666666666,0.000783419915343954
38,2.7499567845662436,28.975,0.0007725471979900061
39,2.7052123489379882,29.875,0.0007614880330756164
40,2.6573816038767495,30.883333333333333,0.0007502499999999999
41,2.60813770198822,31.941666666666666,0.0007388408007496744
42,2.562116833368937,32.65,0.0007272682546199035
43,2.5026796080271403,33.71666666666667,0.0007155402928557433
44,2.484179457982381,34.81666666666667,0.0007036649532163621
45,2.433487807591756,35.09166666666667,0.0006916503744663621
46,2.4048846734364826,35.791666666666664,0.0006795047907978774
47,2.355535190264384,36.78333333333333,0.0006672365261872684
48,2.3171898845036822,37.791666666666664,0.0006548539886902862
49,2.2767969557444254,38.266666666666666,0.0006423656646796094
50,2.242971183458964,39.225,0.000629780113028709
51,2.202802043914795,39.99166666666667,0.0006171059592460247
52,2.164177665710449,41.24166666666667,0.0006043518895634706
53,2.126529451370239,42.09166666666667,0.0005915266449833275
54,2.0934847955703737,42.641666666666666,0.0005786390152875951
55,2.0310135415395103,43.75833333333333,0.0005656978330139155
56,2.022281025568644,44.4,0.0005527119674021928
57,1.985438554763794,45.2,0.0005396903183160584
58,1.9598478317260741,45.74166666666667,0.0005266418101433502
59,1.9189514694213867,46.416666666666664,0.0005135753856797824
60,1.885746697584788,47.5,0.0005005
61,1.83394433816274,48.99166666666667,0.0004874246143202173
62,1.8362654784520467,48.30833333333333,0.0004743581898566495
63,1.792398603439331,49.891666666666666,0.0004613096816839414
64,1.7451758521397909,51.36666666666667,0.0004482880325978071
65,1.707106726328532,51.583333333333336,0.00043530216698608424
66,1.7165334637959797,50.95,0.00042236098471240454
67,1.6782500381469727,52.38333333333333,0.0004094733550166723
68,1.6532175393104553,53.3,0.00039664811043652905
69,1.6192672185897827,54.025,0.00038389404075397514
70,1.5921231098175048,54.44166666666667,0.0003712198869712908
71,1.557259864807129,55.55833333333333,0.00035863433532039047
72,1.5309237171808878,55.74166666666667,0.00034614601130971367
73,1.5264535144170126,55.81666666666667,0.00033376347381273134
74,1.4836819485028585,56.825,0.0003214952092021224
75,1.4616643104553222,57.358333333333334,0.0003093496255336376
76,1.442134378751119,57.78333333333333,0.0002973350467836377
77,1.420738200346629,58.61666666666667,0.00028545970714425657
78,1.4225172119140626,58.541666666666664,0.0002737317453800963
79,1.3963040472666421,59.13333333333333,0.0002621591992503255
80,1.376583019097646,59.708333333333336,0.00025075
81,1.3448521741231283,60.708333333333336,0.00023951196692438345
82,1.3265792031288146,61.333333333333336,0.000228452802009994
83,1.2950115178426107,61.541666666666664,0.00021758008465604578
84,1.2933165577252705,62.025,0.00020690126647990962
85,1.2736151321729023,62.46666666666667,0.00019642366621014395
86,1.2643153478304545,62.75833333333333,0.0001861544646706062
87,1.2376329879760741,64.0,0.00017610069985907325
88,1.2316498567263285,63.825,0.00016626926212375042
89,1.2105454575220744,64.10833333333333,0.00015666688944096976
90,1.192447252035141,64.64166666666667,0.0001473001627973195
91,1.184254676024119,65.08333333333333,0.0001381755016793623
92,1.1627938696543376,64.95,0.0001292991596740416
93,1.1487292623519898,65.575,0.00012067722018278453
94,1.1262952518463134,66.025,0.00011231559225224301
95,1.1258982016245525,66.45833333333333,0.00010422000652452796
96,1.1148076960245767,66.28333333333333,9.639601130971379e-05
97,1.1009652762413025,67.09166666666667,8.884896878330325e-05
98,1.0872776805559794,67.31666666666666,8.158405131126072e-05
99,1.0821312521298727,67.0,7.460623790513095e-05
100,1.0688080004056295,67.80833333333334,6.792031080967285e-05
101,1.0770205816427867,67.38333333333334,6.153085222534833e-05
102,1.059764433701833,67.89166666666667,5.544224116791028e-05
103,1.0478375404675802,68.28333333333333,4.9658650467244715e-05
104,1.048201522509257,67.95833333333333,4.4184043907520803e-05
105,1.0321246620814006,68.49166666666666,3.902217351061227e-05
106,1.0423943206469217,68.40833333333333,3.417657696464772e-05
107,1.0284518218835195,69.16666666666667,2.965057519945693e-05
108,1.0166649169921875,69.04166666666667,2.544727011057081e-05
109,1.019559070746104,69.11666666666666,2.1569542433337623e-05
110,1.018610984325409,69.33333333333333,1.8020049768610376e-05
111,1.0023847778638204,69.75833333333334,1.480122476136056e-05
112,0.9957607998053233,69.35833333333333,1.1915273433464058e-05
113,1.0017982615629832,69.4,9.364173671804724e-06
114,1.0016672943433125,69.6,7.1496738727287385e-06
115,0.9770577376683554,69.85833333333333,5.273291743781713e-06
116,1.0009504817326864,69.46666666666667,3.736313263547436e-06
117,0.9842945649623871,69.85,2.539791800302582e-06
118,0.9911896889209747,70.3,1.6845473900903703e-06
119,1.0049279101689657,69.78333333333333,1.1711661747091487e-06
120,0.9817294129530589,69.99166666666666,1e-06
